country,country_code,region,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption,happiness_rank
Finland,,Europe,7.808700085,1.285189509,1.499525905,0.961271405,0.66231674,0.159670442,,1
Denmark,,Europe,7.645599842,1.326948524,1.503449202,0.979332566,0.665039897,0.242793396,,2
Switzerland,CHE,Europe,7.559899807000001,1.39077425,1.4724034069999998,1.040533185,0.62895447,0.269055754,,3
Iceland,,Europe,7.504499912000001,1.326501608,1.5475674869999998,1.000843406,0.661980748,0.362330228,,4
Norway,,Europe,7.4879999160000015,1.42420733,1.495172501,1.0080718990000002,0.670200884,0.287985086,,5
Netherlands,,Europe,7.448900223,1.338946342,1.463645935,0.975675344,0.61362648,0.336317569,,6
Sweden,,Europe,7.353499889,1.322235227,1.4333477019999998,0.986470461,0.6502977010000001,0.272827893,,7
New Zealand,,Australia,7.299600123999999,1.242317915,1.48721838,1.008138299,0.646789908,0.325726211,,8
Austria,,Europe,7.294199944,1.317285538,1.437444925,1.000933528,0.6033688779999999,0.255509764,,9
Luxembourg,,Europe,7.237500191,1.536676049,1.387528419,0.986442685,0.610137045,0.19595392,,10
Canada,,North America,7.23210001,1.301647663,1.4353919030000002,1.022501945,0.644028127,0.28152892,,11
Australia,,Australia,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,,12
United Kingdom,GBR,Europe,7.164500237,1.273061037,1.457844973,0.97570008,0.525168657,0.373433441,,13
Israel,,Asia,7.128600121,1.216463685,1.4032567740000002,1.008052945,0.420699477,0.266861796,,14
Costa Rica,,South America,7.121399879,0.981107712,1.374853611,0.939635336,0.6450177429999999,0.131266311,,15
Ireland,,Europe,7.093699932000001,1.446886778,1.470596433,0.975670695,0.587779939,0.295426995,,16
Germany,,Europe,7.075799942000001,1.314184546,1.368543744,0.972114801,0.564274132,0.252037704,,17
United States,USA,North America,6.9395999910000015,1.37398684,1.404786706,0.831618011,0.534608245,0.298143059,,18
Czech Republic,,Europe,6.9109001160000005,1.212322354,1.40528667,0.89456445,0.505744576,0.046325929,,19
Belgium,,Europe,6.863500117999999,1.295842767,1.3986775880000002,0.964901149,0.499805421,0.146966159,,20
United Arab Emirates,,Asia,6.790800095,1.4310864209999998,1.251170993,0.787814438,0.652936101,0.28065598,,21
Malta,,Europe,6.7727999689999985,1.252513289,1.442956924,0.972042024,0.633239031,0.341180831,,22
France,,Europe,6.663799762999999,1.268129349,1.458839178,1.029714227,0.5140509010000001,0.112607703,,23
Mexico,,North America,6.465000152999999,1.024387479,1.226333499,0.831601024,0.553892553,0.083094485,,24
Uruguay,,South America,6.440100192999999,1.071000457,1.425081134,0.856928885,0.59426707,0.132143691,,25
Saudi Arabia,,Asia,6.406499863,1.334328532,1.309950113,0.759818137,0.548477471,0.087440684,,26
Spain,,Europe,6.4008998870000005,1.230535269,1.421099186,1.051343083,0.425983816,0.16530548,,27
Guatemala,,South America,6.398900032,0.7538157109999999,1.174267054,0.705952585,0.613146722,0.170611665,,28
Italy,,Europe,6.38740015,1.236396074,1.3472959999999998,1.022504926,0.321305573,0.170266211,,29
Singapore,,Asia,6.3770999910000015,1.519580126,1.39545691,1.137814283,0.635317206,0.218770906,,30
Brazil,,South America,6.375599861,0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,,31
Slovenia,,Europe,6.363399982000001,1.208652496,1.464677691,0.932548046,0.646700144,0.145701498,,32
El Salvador,,South America,6.34829998,0.748940408,1.149397612,0.752730012,0.5240439179999999,0.1189363,,33
Kosovo,,Europe,6.325200081,0.8404813409999999,1.183962822,0.672709167,0.557280421,0.325286865,,34
Panama,,South America,6.3048000339999986,1.097667813,1.3761492969999998,0.878546536,0.57984978,0.097207308,,35
Slovakia,,Europe,6.280600071,1.194837689,1.424331188,0.853465259,0.423542529,0.116729774,,36
Uzbekistan,,Asia,6.257599831,0.6966529490000001,1.4340200419999998,0.716703713,0.6932703259999999,0.363311023,,37
Chile,,South America,6.228499889,1.096992493,1.323286891,0.889260828,0.417482227,0.155579001,,38
Bahrain,,Asia,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,,39
Lithuania,,Europe,6.215499877999999,1.193559647,1.432865739,0.795421183,0.42046079,0.053691041,,40
Poland,,Europe,6.1862998010000005,1.16922915,1.310399771,0.868038476,0.557903528,0.063374244,,41
Colombia,,South America,6.163400172999999,0.93220371,1.33445096,0.8100201490000001,0.526890039,0.092374094,,42
Cyprus,,Asia,6.15899992,1.21279943,1.149170756,1.026124597,0.459385872,0.227932334,,43
Nicaragua,,South America,6.13710022,0.620033145,1.27081275,0.803093255,0.560117304,0.212871477,,44
Romania,,Europe,6.123700142000001,1.1204016209999998,1.1944381000000002,0.79229486,0.534852326,0.068181619,,45
Kuwait,,Asia,6.102099895,1.424833655,1.244779825,0.776468933,0.5702614189999999,0.132751092,,46
Mauritius,,Africa,6.101299762999999,1.07366395,1.395666838,0.7633894090000001,0.590838134,0.186894551,,47
Kazakhstan,,Asia,6.0578999520000005,1.122594237,1.453267694,0.6987889409999999,0.497432142,0.153713793,,48
Estonia,,Europe,6.0218000410000005,1.192441225,1.453232527,0.842615008,0.576664805,0.125136748,,49
Philippines,,Asia,6.006000042,0.7751206759999999,1.245381713,0.602189481,0.6219151620000001,0.129260212,,50
Hungary,,Europe,6.000400066,1.164307117,1.423009396,0.806793869,0.386401802,0.070491239,,51
Thailand,,Asia,5.9987998010000005,1.007029295,1.3475195169999998,0.7938558459999999,0.609449804,0.376709014,,52
Argentina,,South America,5.974699974,1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,,53
Honduras,,South America,5.953199862999999,0.598763585,1.186664104,0.791989982,0.568148077,0.256528199,,54
Latvia,,Europe,5.949999809,1.14139545,1.414398789,0.7779024240000001,0.329198807,0.075407945,,55
Ecuador,,South America,5.925199986,0.853383601,1.221027613,0.838837743,0.555234551,0.115006477,,56
Portugal,,Europe,5.9109001160000005,1.168800831,1.339530349,0.979315281,0.5898951889999999,0.053036947,,57
Jamaica,,South America,5.889800072000001,0.779058397,1.408289194,0.7884340879999999,0.553124607,0.116268493,,58
South Korea,,Asia,5.872399807000001,1.245300651,1.133560538,1.022542596,0.25935635,0.170303866,,59
Japan,,Asia,5.870800018,1.26672411,1.332338691,1.072881341,0.495465875,0.03571178,,60
Peru,,South America,5.796800137000001,0.91854918,1.208405972,0.824444175,0.513210058,0.091611817,,61
Serbia,,Europe,5.77820015,0.988181829,1.327448964,0.828403294,0.395428419,0.15028289,,62
Bolivia,,South America,5.747499942999999,0.7309763429999999,1.142350554,0.6624456639999999,0.5744645,0.138375074,,63
Pakistan,,Asia,5.69329977,0.616799474,0.872979581,0.469933242,0.405421734,0.228705063,,64
Paraguay,,South America,5.692100048,0.897990823,1.36819756,0.7358696459999999,0.586510062,0.204299241,,65
Dominican Republic,,South America,5.689199924,0.983191848,1.328888893,0.7419016959999999,0.5628739,0.112196781,,66
Bosnia and Herzegovina,,Europe,5.674099922000001,0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,,67
Moldova,,Europe,5.607500076,0.7079167959999999,1.237312198,0.713299453,0.389571488,0.174049184,,68
Tajikistan,,Asia,5.555699825,0.474874616,1.218377709,0.680594802,0.521141171,0.182417125,,69
Montenegro,,Europe,5.54610014,1.010150075,1.265657902,0.839028895,0.303223848,0.14901033,,70
Russia,,Europe,5.546000004,1.126999617,1.378644109,0.68044591,0.399499595,0.099041916,,71
Kyrgyzstan,,Asia,5.541500092000001,0.513180971,1.341036677,0.680645883,0.614617765,0.30137074,,72
Belarus,,Europe,5.539899826,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,,73
Greece,,Europe,5.514999866,1.128070116,1.168973565,0.979431748,0.173516348,0.0,,74
Croatia,,Europe,5.504700184,1.109024286,1.311264873,0.900575578,0.3814568820000001,0.113998979,,75
Libya,,Africa,5.488800049,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,,76
Mongolia,,Asia,5.456200123,0.904872775,1.4589306119999998,0.6157881620000001,0.355703115,0.263885736,,77
Malaysia,,Asia,5.384300232,1.168421626,1.17400229,0.7885118720000001,0.596941531,0.274886161,,78
Vietnam,,Asia,5.353499889,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,,79
Indonesia,,Asia,5.285600185,0.891720712,1.154800892,0.610437036,0.568161428,0.542646527,,80
Ivory Coast,,Africa,5.233300208999999,0.537094414,0.7997272609999999,0.154942513,0.397122532,0.1699155869999999,,81
Benin,,Africa,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,,82
Congo (Brazzaville),,Africa,5.194399834,0.633616745,0.7576360109999999,0.458101124,0.386514395,0.117216013,,83
Azerbaijan,,Asia,5.164800167,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,,84
Ghana,,Africa,5.1479997630000005,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,,85
Nepal,,Asia,5.137199879,0.444050372,1.100789309,0.66887939,0.480608255,0.300971806,,86
Turkey,,Asia,5.131800175,1.127169251,1.197159171,0.781335294,0.25440076,0.085885569,,87
China,CHN,Asia,5.123899937,0.990533412,1.132080674,0.867248535,0.6016051170000001,0.079021044,,88
Turkmenistan,,Asia,5.119100093999999,1.008963585,1.510476947,0.6124480370000001,0.515236676,0.323129326,,89
Bulgaria,,Europe,5.101500034,1.046554685,1.4605789180000002,0.7777768970000001,0.417820066,0.103833713,,90
Morocco,,Africa,5.094799995,0.75862211,0.6452084779999999,0.745096922,0.450054139,0.040032551,,91
Cameroon,,Africa,5.084899902,0.503958046,0.89972645,0.270189553,0.4392424820000001,0.198020101,,92
Venezuela,,South America,5.053199768,0.7702386379999999,1.3485468630000002,0.76702553,0.271717221,0.087179154,,93
Algeria,,Africa,5.005099773,0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,,94
Senegal,,Africa,4.980800152,0.5040618179999999,0.95459342,0.518391907,0.352400899,0.164397135,,95
Guinea,,South America,4.949299812,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,,96
Niger,,Africa,4.909599781,0.108330332,0.7038001420000001,0.298816353,0.435311615,0.208176896,,97
Albania,,Europe,4.882699966000001,0.906653047,0.830483913,0.8463296290000001,0.461945891,0.171027765,,98
Cambodia,,Asia,4.8484001160000005,0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,,99
Bangladesh,,Asia,4.832799911,0.556156278,0.8688005809999999,0.694940507,0.604130566,0.1767451169999999,,100
Gabon,,Africa,4.829299927,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,,101
South Africa,,Africa,4.814099789,0.902140439,1.259086251,0.407034069,0.43478182,0.126406848,,102
Iraq,,Asia,4.7848000530000006,0.982018709,1.011466622,0.529350698,0.283588052,0.153002068,,103
Lebanon,,Asia,4.771500111,0.889232516,1.19249332,0.7886711359999999,0.18551667,0.158524141,,104
Burkina Faso,,Africa,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,,105
Mali,,Africa,4.729300021999999,0.352462649,0.97314173,0.234981522,0.377534449,0.16966705,,106
Nigeria,,Africa,4.724100113,0.645901859,0.986717939,0.167835936,0.435079455,0.221328124,,107
Armenia,,Asia,4.676799774,0.8082624079999999,1.034576893,0.77585727,0.378075808,0.107225738,,108
Georgia,,Asia,4.672599792,0.847198069,0.7311939000000001,0.6946576240000001,0.485494107,0.047609735,,109
Iran,,Asia,4.672399998,1.029322505,0.8862711790000001,0.749053836,0.301195472,0.27697894,,110
Jordan,,Asia,4.6333999630000005,0.785179198,1.140118599,0.777624726,0.424855083,0.091494769,,111
Kenya,,Africa,4.583000183,0.476413399,0.905077755,0.536312759,0.519180536,0.393902093,,112
Ukraine,,Europe,4.56069994,0.780434608,1.321316481,0.6986743809999999,0.319423705,0.178551316,,113
Liberia,,Africa,4.557899952,0.174103007,0.920733929,0.392284274,0.405943096,0.226967871,,114
Palestinian Territories,,Asia,4.552800179,0.587819219,1.194755554,0.613826573,0.29870075,0.091816261,,115
Uganda,,Africa,4.43200016,0.312337428,1.052327394,0.378311664,0.401682556,0.264807373,,116
Chad,,Africa,4.422699928,0.302287489,0.739118278,0.1087441,0.228601769,0.210805088,,117
Tunisia,,Africa,4.392199993,0.874742687,0.8721677059999999,0.781156719,0.235860556,0.055881143,,118
Mauritania,,Africa,4.374599934,0.539684892,1.113323569,0.425184816,0.185714483,0.128899664,,119
Sri Lanka,,Asia,4.327000141,0.897986948,1.19494009,0.792036712,0.528632462,0.252666146,,120
Congo (Kinshasa),,Africa,4.31099987,0.062487468,0.833055019,0.277212054,0.36462298,0.254324883,,121
Myanmar,,Asia,4.308000088,0.67809093,1.098178267,0.495443076,0.5974788670000001,0.569813728,,122
Togo,,Africa,4.187200069,0.268116266,0.547622859,0.342731178,0.303539038,0.200774252,,123
Ethiopia,,Africa,4.186200142,0.315125644,1.001103282,0.483846247,0.41256687,0.227698103,,124
Madagascar,,Africa,4.165599823,0.244553208,0.823694348,0.500617027,0.192967549,0.191190064,,125
Egypt,,Africa,4.151400089,0.8752289409999999,0.982539535,0.596911311,0.373684734,0.068801254,,126
Sierra Leone,,Africa,3.926399946,0.240560383,0.747984946,0.203953966,0.382027686,0.257647008,,127
Burundi,,Africa,3.775300026,0.0,0.403575271,0.295212835,0.275399059,0.187401786,,128
Zambia,,Africa,3.759399891,0.536833763,0.8960372809999999,0.36359334,0.49131754,0.250620902,,129
Haiti,,South America,3.720799923,0.284734428,0.646671355,0.37436673,0.169297516,0.463909656,,130
India,,Asia,3.573299885,0.730576158,0.644198656,0.54057014,0.5811422470000001,0.237072483,,131
Malawi,,Africa,3.538000107,0.176534727,0.53036809,0.446163297,0.487389833,0.213185057,,132
Yemen,,Asia,3.527400017,0.392701775,1.177477121,0.41500017,0.243721485,0.094689012,,133
Botswana,,Africa,3.478899956,0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,,134
Tanzania,,Africa,3.476200104,0.457163125,0.872674644,0.442677855,0.5093430879999999,0.27154091,,135
Rwanda,,Africa,3.312299967,0.343242675,0.522876322,0.572383285,0.604087889,0.235704988,,136
Zimbabwe,,Africa,3.2992000580000003,0.425564021,1.047835231,0.375037611,0.37740472,0.151349187,,137
Afghanistan,,Asia,2.566900015,0.30070585,0.356433839,0.266051531,0.0,0.135234714,,138
